routine_schema,routine_name,routine_type,return_type
auth,email,FUNCTION,text
auth,jwt,FUNCTION,jsonb
auth,role,FUNCTION,text
auth,uid,FUNCTION,uuid
storage,allow_any_operation,FUNCTION,boolean
storage,allow_only_operation,FUNCTION,boolean
storage,can_insert_object,FUNCTION,void
storage,enforce_bucket_name_length,FUNCTION,trigger
storage,extension,FUNCTION,text
storage,filename,FUNCTION,text
storage,foldername,FUNCTION,ARRAY
storage,get_common_prefix,FUNCTION,text
storage,get_size_by_bucket,FUNCTION,record
storage,list_multipart_uploads_with_delimiter,FUNCTION,record
storage,list_objects_with_delimiter,FUNCTION,record
storage,operation,FUNCTION,text
storage,protect_delete,FUNCTION,trigger
storage,search,FUNCTION,record
storage,search_by_timestamp,FUNCTION,record
storage,search_v2,FUNCTION,record
storage,update_updated_at_column,FUNCTION,trigger
