constraint_name,table_schema,table_name,column_name,referenced_schema,referenced_table,referenced_column
activity_events_userId_fkey,public,activity_events,userId,public,users,id
admin_audit_logs_adminUserId_fkey,public,admin_audit_logs,adminUserId,public,admin_users,id
admin_sessions_adminUserId_fkey,public,admin_sessions,adminUserId,public,admin_users,id
asset_inventory_userId_fkey,public,asset_inventory,userId,public,users,id
balance_history_bankAccountId_fkey,public,balance_history,bankAccountId,public,bank_accounts,id
bank_accounts_userId_fkey,public,bank_accounts,userId,public,users,id
broadcasts_createdBy_fkey,public,broadcasts,createdBy,public,admin_users,id
budget_plans_userId_fkey,public,budget_plans,userId,public,users,id
calculation_parameter_history_changedBy_fkey,public,calculation_parameter_history,changedBy,public,admin_users,id
calculation_parameter_history_parameterId_fkey,public,calculation_parameter_history,parameterId,public,calculation_parameters,id
cash_wallets_userId_fkey,public,cash_wallets,userId,public,users,id
consent_records_userId_fkey,public,consent_records,userId,public,users,id
credential_records_userId_fkey,public,credential_records,userId,public,users,id
data_access_logs_adminUserId_fkey,public,data_access_logs,adminUserId,public,admin_users,id
data_access_logs_userId_fkey,public,data_access_logs,userId,public,users,id
din_records_userId_fkey,public,din_records,userId,public,users,id
document_meta_userId_fkey,public,document_meta,userId,public,users,id
education_familyMemberId_fkey,public,education,familyMemberId,public,family_members,id
education_userId_fkey,public,education,userId,public,users,id
email_verification_codes_userId_fkey,public,email_verification_codes,userId,public,users,id
expense_categories_userId_fkey,public,expense_categories,userId,public,users,id
expense_entries_userId_fkey,public,expense_entries,userId,public,users,id
family_members_userId_fkey,public,family_members,userId,public,users,id
feature_flags_createdBy_fkey,public,feature_flags,createdBy,public,admin_users,id
feature_flags_dependsOnFlagId_fkey,public,feature_flags,dependsOnFlagId,public,feature_flags,id
game_runs_userId_fkey,public,game_runs,userId,public,users,id
gamification_state_userId_fkey,public,gamification_state,userId,public,users,id
goals_userId_fkey,public,goals,userId,public,users,id
gst_records_userId_fkey,public,gst_records,userId,public,users,id
identity_links_identityId_fkey,public,identity_links,identityId,public,identity_records,id
identity_links_userId_fkey,public,identity_links,userId,public,users,id
identity_records_userId_fkey,public,identity_records,userId,public,users,id
income_streams_creditedAccountId_fkey,public,income_streams,creditedAccountId,public,bank_accounts,id
income_streams_familyMemberId_fkey,public,income_streams,familyMemberId,public,family_members,id
income_streams_userId_fkey,public,income_streams,userId,public,users,id
insurance_coverage_memberId_fkey,public,insurance_coverage,memberId,public,family_members,id
insurance_coverage_policyId_fkey,public,insurance_coverage,policyId,public,insurance_policies,id
insurance_policies_userId_fkey,public,insurance_policies,userId,public,users,id
investment_holdings_linkedGoalId_fkey,public,investment_holdings,linkedGoalId,public,goals,id
investment_holdings_userId_fkey,public,investment_holdings,userId,public,users,id
loan_accounts_userId_fkey,public,loan_accounts,userId,public,users,id
module_access_permissions_adminUserId_fkey,public,module_access_permissions,adminUserId,public,admin_users,id
modules_updatedBy_fkey,public,modules,updatedBy,public,admin_users,id
nominee_mapping_nomineeId_fkey,public,nominee_mapping,nomineeId,public,family_members,id
nominee_mapping_userId_fkey,public,nominee_mapping,userId,public,users,id
notifications_templateId_fkey,public,notifications,templateId,public,notification_templates,id
notifications_userId_fkey,public,notifications,userId,public,users,id
property_assets_userId_fkey,public,property_assets,userId,public,users,id
questions_createdBy_fkey,public,questions,createdBy,public,admin_users,id
questions_fieldMappingId_fkey,public,questions,fieldMappingId,public,field_mappings,id
questions_submoduleId_fkey,public,questions,submoduleId,public,submodules,id
quiz_answers_questionId_fkey,public,quiz_answers,questionId,public,questions,id
quiz_answers_userId_fkey,public,quiz_answers,userId,public,users,id
rajya_scores_userId_fkey,public,rajya_scores,userId,public,users,id
reminders_userId_fkey,public,reminders,userId,public,users,id
scheduled_reports_createdBy_fkey,public,scheduled_reports,createdBy,public,admin_users,id
submodules_moduleId_fkey,public,submodules,moduleId,public,modules,id
subscription_analytics_userId_fkey,public,subscription_analytics,userId,public,users,id
subscriptions_userId_fkey,public,subscriptions,userId,public,users,id
succession_emergency_userId_fkey,public,succession_emergency,userId,public,users,id
succession_nominees_nomineeId_fkey,public,succession_nominees,nomineeId,public,family_members,id
succession_nominees_userId_fkey,public,succession_nominees,userId,public,users,id
succession_wills_userId_fkey,public,succession_wills,userId,public,users,id
support_tickets_assignedTo_fkey,public,support_tickets,assignedTo,public,admin_users,id
support_tickets_userId_fkey,public,support_tickets,userId,public,users,id
system_parameters_updatedBy_fkey,public,system_parameters,updatedBy,public,admin_users,id
tax_records_userId_fkey,public,tax_records,userId,public,users,id
ticket_responses_ticketId_fkey,public,ticket_responses,ticketId,public,support_tickets,id
tutorial_analytics_tutorialId_fkey,public,tutorial_analytics,tutorialId,public,tutorials,id
tutorial_completions_tutorialId_fkey,public,tutorial_completions,tutorialId,public,tutorials,id
tutorial_completions_userId_fkey,public,tutorial_completions,userId,public,users,id
tutorials_createdBy_fkey,public,tutorials,createdBy,public,admin_users,id
tutorials_submoduleId_fkey,public,tutorials,submoduleId,public,submodules,id
user_chapter_progress_submoduleId_fkey,public,user_chapter_progress,submoduleId,public,submodules,id
