schemaname,tablename,rls_enabled
public,_prisma_migrations,false
public,activity_events,false
public,admin_audit_logs,false
public,admin_sessions,false
public,admin_users,false
public,asset_inventory,false
public,balance_history,false
public,bank_accounts,false
public,broadcasts,false
public,budget_plans,false
public,calculation_parameter_history,false
public,calculation_parameters,false
public,cash_wallets,false
public,cohorts,false
public,consent_records,false
public,contact_messages,false
public,credential_records,false
public,daily_analytics,false
public,data_access_logs,false
public,din_records,false
public,document_meta,false
public,education,false
public,email_verification_codes,false
public,expense_categories,false
public,expense_entries,false
public,family_members,false
public,faqs,false
public,feature_flags,false
public,field_mappings,false
public,game_runs,false
public,gamification_state,false
public,goals,false
public,gst_records,false
public,identity_links,false
public,identity_records,false
public,iks_assets,false
public,income_streams,false
public,insurance_coverage,false
public,insurance_policies,false
public,investment_holdings,false
public,loan_accounts,false
public,module_access_permissions,false
public,modules,false
public,monthly_analytics,false
public,nominee_mapping,false
public,notification_templates,false
public,notifications,false
public,property_assets,false
public,questions,false
public,quiz_answers,false
public,rajya_scores,false
public,reminders,false
public,scheduled_reports,false
public,submodules,false
public,subscription_analytics,false
public,subscriptions,false
public,succession_emergency,false
public,succession_nominees,false
public,succession_wills,false
public,support_tickets,false
public,system_parameters,false
public,system_settings,false
public,tax_records,false
public,ticket_responses,false
public,tutorial_analytics,false
public,tutorial_completions,false
public,tutorials,false
public,user_chapter_progress,false
public,user_cohorts,false
public,user_feedback,false
public,user_module_progress,false
public,user_sessions,false
public,users,false
public,weekly_analytics,false
public,will_status,false
storage,buckets,true
storage,buckets_analytics,true
storage,buckets_vectors,true
storage,migrations,true
storage,objects,true
storage,s3_multipart_uploads,true
storage,s3_multipart_uploads_parts,true
storage,vector_indexes,true
