table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
public,_prisma_migrations,1,id,character varying,NO,null
public,_prisma_migrations,2,checksum,character varying,NO,null
public,_prisma_migrations,3,finished_at,timestamp with time zone,YES,null
public,_prisma_migrations,4,migration_name,character varying,NO,null
public,_prisma_migrations,5,logs,text,YES,null
public,_prisma_migrations,6,rolled_back_at,timestamp with time zone,YES,null
public,_prisma_migrations,7,started_at,timestamp with time zone,NO,now()
public,_prisma_migrations,8,applied_steps_count,integer,NO,0
public,activity_events,1,id,text,NO,null
public,activity_events,2,userId,text,NO,null
public,activity_events,3,eventType,text,NO,null
public,activity_events,4,eventData,jsonb,YES,null
public,activity_events,5,deviceType,text,YES,null
public,activity_events,6,timestamp,timestamp without time zone,NO,CURRENT_TIMESTAMP
public,admin_audit_logs,1,id,text,NO,null
public,admin_audit_logs,2,adminUserId,text,NO,null
public,admin_audit_logs,3,actionType,USER-DEFINED,NO,null
public,admin_audit_logs,4,entityType,text,NO,null
public,admin_audit_logs,5,entityId,text,YES,null
public,admin_audit_logs,6,oldValue,jsonb,YES,null
public,admin_audit_logs,7,newValue,jsonb,YES,null
public,admin_audit_logs,8,ipAddress,text,NO,null
public,admin_audit_logs,9,userAgent,text,YES,null
public,admin_audit_logs,10,timestamp,timestamp without time zone,NO,CURRENT_TIMESTAMP
public,admin_sessions,1,id,text,NO,null
public,admin_sessions,2,adminUserId,text,NO,null
public,admin_sessions,3,token,text,NO,null
public,admin_sessions,4,refreshToken,text,NO,null
public,admin_sessions,5,ipAddress,text,NO,null
public,admin_sessions,6,userAgent,text,YES,null
public,admin_sessions,7,expiresAt,timestamp without time zone,NO,null
public,admin_sessions,8,createdAt,timestamp without time zone,NO,CURRENT_TIMESTAMP
public,admin_sessions,9,lastActivityAt,timestamp without time zone,NO,CURRENT_TIMESTAMP
public,admin_users,1,id,text,NO,null
public,admin_users,2,email,text,NO,null
public,admin_users,3,password,text,NO,null
public,admin_users,4,name,text,NO,null
public,admin_users,5,role,USER-DEFINED,NO,null
public,admin_users,6,status,USER-DEFINED,NO,"'ACTIVE'::""AdminStatus"""
public,admin_users,7,twoFactorSecret,text,YES,null
public,admin_users,8,twoFactorEnabled,boolean,NO,false
public,admin_users,9,lastLoginAt,timestamp without time zone,YES,null
public,admin_users,10,lastLoginIp,text,YES,null
public,admin_users,11,failedLoginCount,integer,NO,0
public,admin_users,12,lockedUntil,timestamp without time zone,YES,null
public,admin_users,13,createdAt,timestamp without time zone,NO,CURRENT_TIMESTAMP
public,admin_users,14,updatedAt,timestamp without time zone,NO,null
public,admin_users,15,createdBy,text,YES,null
public,admin_users,16,deletedAt,timestamp without time zone,YES,null
public,admin_users,17,inviteExpiresAt,timestamp without time zone,YES,null
public,admin_users,18,inviteToken,text,YES,null
public,admin_users,19,previousPassword,text,YES,null
public,admin_users,20,twoFactorRecoveryCodes,text,YES,null
public,admin_users,21,mobile,text,YES,null
public,admin_users,22,twoFactorOtpExpiresAt,timestamp without time zone,YES,null
public,asset_inventory,1,id,text,NO,null
public,asset_inventory,2,userId,text,NO,null
public,asset_inventory,3,itemType,text,NO,null
public,asset_inventory,4,description,text,NO,null
public,asset_inventory,5,purchaseValue,double precision,YES,null
public,asset_inventory,6,currentValue,double precision,YES,null
public,asset_inventory,7,ownerId,text,YES,null
public,asset_inventory,8,insuredFlag,boolean,NO,false
public,asset_inventory,9,linkedPolicyId,text,YES,null
public,asset_inventory,10,createdAt,timestamp without time zone,NO,CURRENT_TIMESTAMP
public,asset_inventory,11,updatedAt,timestamp without time zone,NO,null
public,balance_history,1,id,text,NO,null
public,balance_history,2,bankAccountId,text,NO,null
public,balance_history,3,balance,double precision,NO,null
public,balance_history,4,recordedAt,timestamp without time zone,NO,CURRENT_TIMESTAMP
public,balance_history,5,note,text,YES,null
public,bank_accounts,1,id,text,NO,null
public,bank_accounts,2,userId,text,NO,null
public,bank_accounts,3,bankName,text,NO,null
public,bank_accounts,4,accountType,text,NO,null
public,bank_accounts,5,accountNumber,text,YES,null
public,bank_accounts,6,ifsc,text,YES,null
public,bank_accounts,7,holders,jsonb,YES,null
public,bank_accounts,8,openingBalance,double precision,YES,null
public,bank_accounts,9,currentBalance,double precision,YES,null
public,bank_accounts,10,status,text,NO,'ACTIVE'::text
public,bank_accounts,11,createdAt,timestamp without time zone,NO,CURRENT_TIMESTAMP
public,bank_accounts,12,updatedAt,timestamp without time zone,NO,null
public,bank_accounts,13,accountLast4,text,NO,null
public,bank_accounts,14,isPrimary,boolean,NO,false
public,bank_accounts,15,latestBalanceAsOf,timestamp without time zone,YES,null
public,bank_accounts,16,nickname,text,YES,null
public,bank_accounts,17,notes,text,YES,null
public,broadcasts,1,id,text,NO,null
public,broadcasts,2,createdBy,text,NO,null
public,broadcasts,3,title,text,NO,null
public,broadcasts,4,body,text,NO,null
public,broadcasts,5,ctaText,text,YES,null
public,broadcasts,6,ctaUrl,text,YES,null
public,broadcasts,7,targetScope,jsonb,NO,null
public,broadcasts,8,channel,USER-DEFINED,NO,null
public,broadcasts,9,scheduledFor,timestamp without time zone,YES,null
public,broadcasts,10,expiresAt,timestamp without time zone,YES,null
public,broadcasts,11,sentAt,timestamp without time zone,YES,null
public,broadcasts,12,status,USER-DEFINED,NO,"'DRAFT'::""BroadcastStatus"""
public,broadcasts,13,sentCount,integer,NO,0
public,broadcasts,14,deliveredCount,integer,NO,0
public,broadcasts,15,openedCount,integer,NO,0
public,broadcasts,16,clickedCount,integer,NO,0
public,broadcasts,17,createdAt,timestamp without time zone,NO,CURRENT_TIMESTAMP
public,budget_plans,1,id,text,NO,null
public,budget_plans,2,userId,text,NO,null
public,budget_plans,3,totalMonthly,double precision,NO,null
public,budget_plans,4,categories,jsonb,NO,null
public,budget_plans,5,overspendRules,jsonb,YES,null
public,budget_plans,6,isActive,boolean,NO,true
public,budget_plans,7,createdAt,timestamp without time zone,NO,CURRENT_TIMESTAMP
public,budget_plans,8,updatedAt,timestamp without time zone,NO,null
public,calculation_parameter_history,1,id,text,NO,null
public,calculation_parameter_history,2,parameterId,text,NO,null
public,calculation_parameter_history,3,parameterKey,text,NO,null
public,calculation_parameter_history,4,oldValue,double precision,NO,null
