table_schema,table_name,table_type
public,_prisma_migrations,BASE TABLE
public,activity_events,BASE TABLE
public,admin_audit_logs,BASE TABLE
public,admin_sessions,BASE TABLE
public,admin_users,BASE TABLE
public,asset_inventory,BASE TABLE
public,balance_history,BASE TABLE
public,bank_accounts,BASE TABLE
public,broadcasts,BASE TABLE
public,budget_plans,BASE TABLE
public,calculation_parameter_history,BASE TABLE
public,calculation_parameters,BASE TABLE
public,cash_wallets,BASE TABLE
public,cohorts,BASE TABLE
public,consent_records,BASE TABLE
public,contact_messages,BASE TABLE
public,credential_records,BASE TABLE
public,daily_analytics,BASE TABLE
public,data_access_logs,BASE TABLE
public,din_records,BASE TABLE
public,document_meta,BASE TABLE
public,education,BASE TABLE
public,email_verification_codes,BASE TABLE
public,expense_categories,BASE TABLE
public,expense_entries,BASE TABLE
public,family_members,BASE TABLE
public,faqs,BASE TABLE
public,feature_flags,BASE TABLE
public,field_mappings,BASE TABLE
public,game_runs,BASE TABLE
public,gamification_state,BASE TABLE
public,goals,BASE TABLE
public,gst_records,BASE TABLE
public,identity_links,BASE TABLE
public,identity_records,BASE TABLE
public,iks_assets,BASE TABLE
public,income_streams,BASE TABLE
public,insurance_coverage,BASE TABLE
public,insurance_policies,BASE TABLE
public,investment_holdings,BASE TABLE
public,loan_accounts,BASE TABLE
public,module_access_permissions,BASE TABLE
public,modules,BASE TABLE
public,monthly_analytics,BASE TABLE
public,nominee_mapping,BASE TABLE
public,notification_templates,BASE TABLE
public,notifications,BASE TABLE
public,property_assets,BASE TABLE
public,questions,BASE TABLE
public,quiz_answers,BASE TABLE
public,rajya_scores,BASE TABLE
public,reminders,BASE TABLE
public,scheduled_reports,BASE TABLE
public,submodules,BASE TABLE
public,subscription_analytics,BASE TABLE
public,subscriptions,BASE TABLE
public,succession_emergency,BASE TABLE
public,succession_nominees,BASE TABLE
public,succession_wills,BASE TABLE
public,support_tickets,BASE TABLE
public,system_parameters,BASE TABLE
public,system_settings,BASE TABLE
public,tax_records,BASE TABLE
public,ticket_responses,BASE TABLE
public,tutorial_analytics,BASE TABLE
public,tutorial_completions,BASE TABLE
public,tutorials,BASE TABLE
public,user_chapter_progress,BASE TABLE
public,user_cohorts,BASE TABLE
public,user_feedback,BASE TABLE
public,user_module_progress,BASE TABLE
public,user_sessions,BASE TABLE
public,users,BASE TABLE
public,weekly_analytics,BASE TABLE
public,will_status,BASE TABLE
