Table Schema,Table Name,Table Type,Columns Count,RLS Enabled
public,_prisma_migrations,BASE TABLE,8,false
public,activity_events,BASE TABLE,6,false
public,admin_audit_logs,BASE TABLE,10,false
public,admin_sessions,BASE TABLE,9,false
public,admin_users,BASE TABLE,22,false
public,asset_inventory,BASE TABLE,11,false
public,balance_history,BASE TABLE,5,false
public,bank_accounts,BASE TABLE,17,false
public,broadcasts,BASE TABLE,17,false
public,budget_plans,BASE TABLE,8,false
public,calculation_parameter_history,BASE TABLE,8,false
public,calculation_parameters,BASE TABLE,9,false
public,cash_wallets,BASE TABLE,7,false
public,cohorts,BASE TABLE,12,false
public,consent_records,BASE TABLE,9,false
public,contact_messages,BASE TABLE,7,false
public,credential_records,BASE TABLE,18,false
public,daily_analytics,BASE TABLE,12,false
public,data_access_logs,BASE TABLE,8,false
public,din_records,BASE TABLE,15,false
public,document_meta,BASE TABLE,19,false
public,education,BASE TABLE,10,false
public,email_verification_codes,BASE TABLE,6,false
public,expense_categories,BASE TABLE,6,false
public,expense_entries,BASE TABLE,13,false
public,family_members,BASE TABLE,12,false
public,faqs,BASE TABLE,13,false
public,feature_flags,BASE TABLE,14,false
public,field_mappings,BASE TABLE,7,false
public,game_runs,BASE TABLE,9,false
public,gamification_state,BASE TABLE,10,false
public,goals,BASE TABLE,11,false
public,gst_records,BASE TABLE,16,false
public,identity_links,BASE TABLE,7,false
public,identity_records,BASE TABLE,14,false
public,iks_assets,BASE TABLE,10,false
public,income_streams,BASE TABLE,21,false
public,insurance_coverage,BASE TABLE,3,false
public,insurance_policies,BASE TABLE,17,false
public,investment_holdings,BASE TABLE,12,false
public,loan_accounts,BASE TABLE,18,false
public,module_access_permissions,BASE TABLE,6,false
public,modules,BASE TABLE,14,false
public,monthly_analytics,BASE TABLE,9,false
public,nominee_mapping,BASE TABLE,10,false
public,notification_templates,BASE TABLE,11,false
public,notifications,BASE TABLE,13,false
public,property_assets,BASE TABLE,19,false
public,questions,BASE TABLE,17,false
public,quiz_answers,BASE TABLE,6,false
public,rajya_scores,BASE TABLE,16,false
public,reminders,BASE TABLE,12,false
public,scheduled_reports,BASE TABLE,10,false
public,submodules,BASE TABLE,15,false
public,subscription_analytics,BASE TABLE,10,false
public,subscriptions,BASE TABLE,22,false
public,succession_emergency,BASE TABLE,10,false
public,succession_nominees,BASE TABLE,10,false
public,succession_wills,BASE TABLE,14,false
public,support_tickets,BASE TABLE,16,false
public,system_parameters,BASE TABLE,10,false
public,system_settings,BASE TABLE,5,false
public,tax_records,BASE TABLE,16,false
public,ticket_responses,BASE TABLE,7,false
public,tutorial_analytics,BASE TABLE,7,false
public,tutorial_completions,BASE TABLE,6,false
public,tutorials,BASE TABLE,22,false
public,user_chapter_progress,BASE TABLE,10,false
public,user_cohorts,BASE TABLE,5,false
public,user_feedback,BASE TABLE,9,false
public,user_module_progress,BASE TABLE,6,false
public,user_sessions,BASE TABLE,10,false
public,users,BASE TABLE,33,false
public,weekly_analytics,BASE TABLE,10,false
public,will_status,BASE TABLE,10,false
